file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,class,36,62,26,36,167,2,18,146,1045,0.88117284,0.0,0.0,54,2,42,1,11,0,53,0,0,0,12,1,0,12,0,0,1,0,39,777,53,6,54,0,9,10,21,217,27,157,4,0,0,0,410,1025,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xml/CategorySeriesHandler.java,org.jfree.data.xml.CategorySeriesHandler,class,9,12,3,9,9,2,0,10,0,0.46666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,41,0,1,0,0,0,2,0,8,1,8,2,0,0,0,61,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/CrosshairState.java,org.jfree.chart.plot.CrosshairState,class,1,6,5,1,27,1,2,3,89,0.79605263,0.0,0.0,19,0,19,0,0,0,19,0,0,0,8,0,0,8,0,0,0,0,2,104,9,0,4,0,8,0,1,29,16,14,3,0,0,0,157,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/XYSeriesLabelGenerator.java,org.jfree.chart.labels.XYSeriesLabelGenerator,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/editor/PaintSample.java,org.jfree.chart.swing.editor.PaintSample,class,0,5,5,0,5,4,0,8,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,32,2,0,0,0,0,0,4,11,2,10,0,0,0,0,49,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/urls/TimeSeriesURLGenerator.java,org.jfree.chart.urls.TimeSeriesURLGenerator,class,4,5,1,4,19,1,0,11,0,0.6,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,1,0,5,0,0,1,0,7,79,12,0,2,2,1,16,1,20,2,11,2,0,0,0,88,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/legend/LegendGraphic.java,org.jfree.chart.legend.LegendGraphic,class,15,17,2,15,77,2,0,45,355,0.8350877,0.0,0.0,38,0,35,2,1,0,36,0,0,0,15,1,0,14,0,1,1,0,41,299,35,0,18,0,5,13,28,66,28,29,3,0,0,0,194,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/resources/DataPackageResources_ru.java,org.jfree.data.resources.DataPackageResources_ru,class,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,4,0,1,0,1,0,0,0,0,35,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/ColorBlock.java,org.jfree.chart.block.ColorBlock,class,5,6,1,5,12,2,0,22,0,0.6111111,0.0,0.0,9,0,7,2,0,0,7,0,0,0,2,1,0,1,0,1,1,0,1,54,8,0,1,0,1,1,2,9,2,4,1,0,0,0,97,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/DomainOrder.java,org.jfree.data.DomainOrder,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
