file,class,rfc
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/CategoryItemRenderer.java,org.jfree.chart.renderer.category.CategoryItemRenderer,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/resources/DataPackageResources_es.java,org.jfree.data.resources.DataPackageResources_es,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,11
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,org.jfree.chart.annotations.CategoryTextAnnotation,32
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/Outlier.java,org.jfree.chart.renderer.Outlier,6
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/LineAndShapeRenderer.java,org.jfree.chart.renderer.category.LineAndShapeRenderer,68
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/editor/StrokeSample.java,org.jfree.chart.swing.editor.StrokeSample,13
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/DefaultKeyedValueDataset.java,org.jfree.data.general.DefaultKeyedValueDataset,7
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/SeriesChangeEvent.java,org.jfree.data.general.SeriesChangeEvent,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,org.jfree.chart.renderer.category.MinMaxCategoryRenderer$Anonymous1,5
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/FastScatterPlot.java,org.jfree.chart.plot.FastScatterPlot,76
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/CategoryItemLabelGenerator.java,org.jfree.chart.labels.CategoryItemLabelGenerator,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/editor/DefaultTitleEditor.java,org.jfree.chart.swing.editor.DefaultTitleEditor,41
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,org.jfree.chart.renderer.category.MinMaxCategoryRenderer$Anonymous2,4
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/KeyedValueComparator.java,org.jfree.data.KeyedValueComparator,6
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/StackedXYAreaRenderer.java,org.jfree.chart.renderer.xy.StackedXYAreaRenderer$StackedXYAreaRendererState,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/TickUnits.java,org.jfree.chart.axis.TickUnits,10
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/imagemap/URLTagFragmentGenerator.java,org.jfree.chart.imagemap.URLTagFragmentGenerator,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/ItemKey.java,org.jfree.data.ItemKey,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/StandardDialFrame.java,org.jfree.chart.plot.dial.StandardDialFrame,26
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/StackedBarRenderer.java,org.jfree.chart.renderer.category.StackedBarRenderer,44
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/GanttRenderer.java,org.jfree.chart.renderer.category.GanttRenderer,54
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/SeriesRenderingOrder.java,org.jfree.chart.plot.SeriesRenderingOrder,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/StandardChartTheme.java,org.jfree.chart.StandardChartTheme$Anonymous1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/event/AnnotationChangeEvent.java,org.jfree.chart.event.AnnotationChangeEvent,1
